,Unnamed: 0,video_id,video_title,upload_date,view_count,like_count,comment_count,mean_weighted_sentiment_score,median_weighted_sentiment_score,std_weighted_sentiment_score,sentiment_label,days_since_upload,views_per_day,comment_count_per_day
95,95,_UR4m2qtRsI,I upgraded my $ making hotspot (week 2 results),2022-03-10,541794,33465,204,0.0537928372037176,0.1560942709445953,0.5556623239972167,Neutral,239.0,2266.92,0.85
96,96,dPkIKNBQGuM,I built a dropshipping store from a cozy cabin,2022-03-09,205689,9803,77,0.1465904740910781,0.1630385041236877,0.6178057404864161,Positive,240.0,857.04,0.32
97,97,5HwXYQO4aC8,What influencers actually get for free…,2022-03-08,270517,18598,116,0.0504702965187471,0.1266028344631194,0.7025391068015844,Neutral,241.0,1122.48,0.48
98,98,D4UXIL3BHNs,I tried starting a streetwear brand for $70,2022-03-07,530461,34462,534,0.2284504291004372,0.1842821836471557,0.6130476289503506,Positive,242.0,2191.99,2.21
99,99,ScJGWii1bwc,I spent $100 on Pokémon cards to flip for profit,2022-03-03,4554853,223045,1015,-0.1393133487207133,0.1113961040973663,0.5285056136672402,Negative,246.0,18515.66,4.13
100,100,J6C4ZLvt1Oo,I made a diamond play button out of paper,2022-03-02,2674456,177703,350,0.4481391144982466,0.6336849331855774,0.538228205602454,Positive,247.0,10827.76,1.42
101,101,Ip2JJbz11h4,How much $ I’ve made helium mining (Week 1),2022-02-28,2900702,180433,1206,-0.1246280622071233,0.1202234745025634,0.5240398553010802,Negative,249.0,11649.41,4.84
102,102,x7EGS-QEqzA,I tried finding profitable flips at Walmart…,2022-02-25,16236845,851957,4176,-0.2590130625206691,0.0842750370502471,0.5463890791656774,Negative,252.0,64431.92,16.57
103,103,0FXgNvNDqS8,I asked a 9 figure ecom CEO if FB ads still work,2022-02-25,186803,6914,35,0.2870562219619751,0.166229248046875,0.518680557312059,Positive,252.0,741.28,0.14
104,104,dzCY_A1W2Wk,I built a sunglasses brand to compete with Ray-Ban,2022-02-24,2644327,123712,1119,-0.0173998427437377,0.1277187645435333,0.5885403360462493,Neutral,253.0,10451.89,4.42
105,105,MHcoJWtSP3g,I bought a wireless hotspot that makes me money,2022-02-22,6163849,296485,1255,-0.1857092798353949,0.1049588799476622,0.5666251411252364,Negative,255.0,24171.96,4.92
